city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Deltona,Deltona,FL,Florida,12127,Volusia,28.905,-81.2137,221137,976.3,shape,False,True,America/New_York,2,32725 32738 32739,1840015072
San Bernardino,San Bernardino,CA,California,6071,San Bernardino,34.1416,-117.2943,221041,1373.7,shape,False,True,America/Los_Angeles,2,92404 92369 92401 92407 92405 92408 92411 92410 92415 92346 92403 92406 92413 92418 92423 92427,1840021728
Gainesville,Gainesville,FL,Florida,12001,Alachua,29.6804,-82.3459,220929,860.2,shape,False,True,America/New_York,2,32608 32609 32607 32610 32612 32653 32603 32601 32605 32604 32611 32614 32627 32635,1840014022
Spring Valley,Spring Valley,NV,Nevada,32003,Clark,36.0952,-115.2636,220114,2393.6,shape,False,False,America/Los_Angeles,2,89147 89146 89103 89148 89113 89117 89118 89150 89164 89173,1840033832
Tacoma,Tacoma,WA,Washington,53053,Pierce,47.2431,-122.4531,219234,1702.7,shape,False,True,America/Los_Angeles,2,98422 98403 98404 98405 98408 98409 98402 98406 98407 98466 98465 98416 98418 98444 98421 98401 98411 98412 98413 98415 98417 98419 98448 98471 98481 98490,1840021129
Roanoke,Roanoke,VA,Virginia,51770,Roanoke,37.2785,-79.9581,218533,900.9,shape,False,True,America/New_York,2,24019 24014 24015 24016 24017 24011 24012 24013 24022 24001 24002 24003 24004 24005 24006 24007 24008 24009 24010 24023 24024 24025 24026 24027 24028 24029 24030 24031 24032 24033 24034 24035 24036 24037 24038 24040 24042 24043,1840003858
Brownsville,Brownsville,TX,Texas,48061,Cameron,25.9975,-97.458,215269,548.4,shape,False,True,America/Chicago,2,78521 78520 78526 78575 78578 78566 78522,1840019743
College Station,College Station,TX,Texas,48041,Brazos,30.5852,-96.2959,213177,909.0,shape,False,True,America/Chicago,2,77843 77840 77845 77841 77842 77844 77881,1840019570
Olympia,Olympia,WA,Washington,53067,Thurston,47.0417,-122.8959,210877,1168.7,shape,False,True,America/Los_Angeles,2,98502 98501 98506 98504 98507 98508,1840019865
Clarksville,Clarksville,TN,Tennessee,47125,Montgomery,36.5692,-87.3413,210551,650.9,shape,False,True,America/Chicago,2,42223 37043 37042 37040 37041 37044,1840014421
Yonkers,Yonkers,NY,New York,36119,Westchester,40.9466,-73.8673,209780,4498.4,shape,False,True,America/New_York,2,10708 10703 10701 10707 10705 10704 10710 10702,1840003478
Moreno Valley,Moreno Valley,CA,California,6065,Riverside,33.9244,-117.2045,209578,1577.1,shape,False,True,America/Los_Angeles,2,92551 92553 92555 92557 92552 92554 92556,1840020552
Thousand Oaks,Thousand Oaks,CA,California,6111,Ventura,34.1914,-118.8756,209570,884.1,shape,False,True,America/Los_Angeles,2,91320 91360 91361 91362 91319 91358 91359,1840021844
Portland,Portland,ME,Maine,23005,Cumberland,43.6773,-70.2715,209491,1223.9,shape,False,True,America/New_York,2,04101 04102 04103 04108 04109 04019 04104 04112 04116 04122 04123 04124,1840000327
Fontana,Fontana,CA,California,6071,San Bernardino,34.0968,-117.4599,209279,1867.1,shape,False,True,America/Los_Angeles,2,92335 92336 92337 92331 92334 92402,1840020402
Hickory,Hickory,NC,North Carolina,37035,Catawba,35.741,-81.3223,206008,539.2,shape,False,True,America/New_York,2,28601 28602 28603,1840014524
Amarillo,Amarillo,TX,Texas,48375,Potter,35.1984,-101.8316,205903,750.2,shape,False,True,America/Chicago,2,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189,1840019156
Sioux Falls,Sioux Falls,SD,South Dakota,46099,Minnehaha,43.5396,-96.7311,204484,926.0,shape,False,True,America/Chicago,2,57108 57104 57105 57106 57107 57103 57197 57110 57117 57101 57109 57186 57193,1840002648
Evansville,Evansville,IN,Indiana,18163,Vanderburgh,37.9881,-87.5341,203661,953.2,shape,False,True,America/Chicago,2,47714 47715 47710 47711 47713 47708 47701 47702 47703 47704 47705 47706 47716 47719 47722 47724 47728 47730 47731 47732 47733 47734 47735 47736 47737 47740 47747 47750,1840013730
Huntington,Huntington,WV,West Virginia,54011,Cabell,38.4109,-82.4345,202754,1110.2,shape,False,True,America/New_York,2,25703 25702 25701 25705 25704 25755 25706 25708 25709 25710 25711 25712 25713 25714 25716 25717 25718 25719 25720 25721 25722 25723 25724 25725 25726 25727 25728 25729 25772 25773 25774 25775 25776 25777 25778,1840006211
Waterbury,Waterbury,CT,Connecticut,9140,Naugatuck Valley,41.5582,-73.0361,202422,1547.8,shape,False,True,America/New_York,2,06708 06702 06704 06705 06706 06710 06701 06703 06720 06721 06722 06723 06724 06725 06726,1840004851
Frisco,Frisco,TX,Texas,48085,Collin,33.156,-96.8216,202075,1137.6,shape,False,True,America/Chicago,2,75034 75036 75033 75035,1840020654
Lorain,Lorain,OH,Ohio,39093,Lorain,41.4409,-82.184,201808,1065.4,shape,False,True,America/New_York,2,44052 44053 44055,1840000644
Kalamazoo,Kalamazoo,MI,Michigan,26077,Kalamazoo,42.2749,-85.5882,200838,1146.8,shape,False,True,America/Detroit,2,49001 49006 49007 49008 49074 49005 49019,1840003185
Galveston,Galveston,TX,Texas,48167,Galveston,29.2484,-94.8913,200451,501.2,shape,False,True,America/Chicago,2,77551 77550 77555 77554 77552 77553,1840020970
Spartanburg,Spartanburg,SC,South Carolina,45083,Spartanburg,34.9442,-81.9251,200000,730.2,shape,False,True,America/New_York,2,29302 29301 29307 29306 29304 29319,1840015482
Santa Barbara,Santa Barbara,CA,California,6083,Santa Barbara,34.4285,-119.7202,199023,1754.6,shape,False,True,America/Los_Angeles,2,93105 93101 93103 93109 93102 93120 93121 93130 93140 93190,1840021829
Sunrise Manor,Sunrise Manor,NV,Nevada,32003,Clark,36.1783,-115.0487,198325,2271.3,shape,False,False,America/Los_Angeles,2,89104 89142 89110 89115 89156 89121 89122 89162 89180,1840033833
Huntington Beach,Huntington Beach,CA,California,6059,Orange,33.696,-118.0018,197481,2825.9,shape,False,True,America/Los_Angeles,2,92648 92649 92646 92647 90742 92605 92615,1840020578
Grand Prairie,Grand Prairie,TX,Texas,48113,Dallas,32.6871,-97.0208,197279,1050.5,shape,False,True,America/Chicago,2,75052 75050 75051 75054 75104 75053 75265,1840020709
Overland Park,Overland Park,KS,Kansas,20091,Johnson,38.887,-94.687,196676,1009.4,shape,False,True,America/Chicago,2,66214 66210 66211 66212 66213 66221 66223 66209 66202 66207 66204 66013 66251 66085 66224 66201 66225 66276 66282 66283,1840003834
McKinney,McKinney,TX,Texas,48085,Collin,33.2016,-96.667,196160,1131.0,shape,False,True,America/Chicago,2,75069 75072 75070 75071,1840020657
Waco,Waco,TX,Texas,48309,McLennan,31.5599,-97.1882,195709,604.6,shape,False,True,America/Chicago,2,76798 76710 76711 76712 76708 76701 76707 76706 76704 76702 76703 76714 76797 76799,1840022140
Hagerstown,Hagerstown,MD,Maryland,24043,Washington,39.6401,-77.7217,195261,1334.0,shape,False,True,America/New_York,2,21742 21740 21741 21747 21749,1840005613
Glendale,Glendale,CA,California,6037,Los Angeles,34.1819,-118.2468,194512,2464.0,shape,False,True,America/Los_Angeles,2,91210 91214 91201 91205 91208 91203 91202 91204 91207 91206 91046 91020 91209 91221 91222 91225 91226,1840020483
Nampa,Nampa,ID,Idaho,16027,Canyon,43.5844,-116.5638,193935,1139.2,shape,False,True,America/Boise,2,83651 83687 83686,1840020041
Peoria,Peoria,AZ,Arizona,4013,Maricopa,33.7843,-112.2989,191292,419.5,shape,False,True,America/Phoenix,2,85373 85381 85383 85382 85324 85345 85380 85385,1840020567
Cedar Rapids,Cedar Rapids,IA,Iowa,19113,Linn,41.9662,-91.6783,191104,724.0,shape,False,True,America/Chicago,2,52404 52405 52401 52411 52402 52403 52406 52407 52408 52409 52410 52497 52498 52499,1840000471
Vancouver,Vancouver,WA,Washington,53011,Clark,45.6366,-122.5967,190700,1510.4,shape,False,True,America/Los_Angeles,2,98684 98664 98665 98660 98661 98662 98663 98682 98683 98687,1840021189
Paradise,Paradise,NV,Nevada,32003,Clark,36.0872,-115.1355,189733,1727.6,shape,False,False,America/Los_Angeles,2,89103 89109 89158 89169 89118 89119 89121 89120 89123 89111 89132 89136 89154 89157 89159 89160 89170 89177 89193,1840033743
Ocala,Ocala,FL,Florida,12083,Marion,29.178,-82.1511,186840,518.8,shape,False,True,America/New_York,2,34475 34474 34471 34470 34477 34478 34483,1840015067
Erie,Erie,PA,Pennsylvania,42049,Erie,42.1167,-80.0733,185556,1913.7,shape,False,True,America/New_York,2,16546 16510 16508 16507 16502 16504 16503 16550 16501 16511 16512 16514 16522 16530 16534 16538 16541 16544 16553,1840000478
Newport News,Newport News,VA,Virginia,51700,Newport News,37.1051,-76.5185,185118,1035.9,shape,False,True,America/New_York,2,23601 23603 23608 23604 23605 23606 23607 23602 23609 23612 23628 23630,1840003862
Frederick,Frederick,MD,Maryland,24021,Frederick,39.4337,-77.4141,184991,1263.9,shape,False,True,America/New_York,2,21705 21702 21701 21709,1840005710
Murfreesboro,Murfreesboro,TN,Tennessee,47149,Rutherford,35.849,-86.4121,184763,926.1,shape,False,True,America/Chicago,2,37132 37130 37129 37128 37127 37131 37133,1840014495
Fort Lauderdale,Fort Lauderdale,FL,Florida,12011,Broward,26.1412,-80.1464,182673,2039.5,shape,False,True,America/New_York,2,33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394,1840014236
Aurora,Aurora,IL,Illinois,17089,Kane,41.7638,-88.2902,181405,1555.1,shape,False,True,America/Chicago,2,60505 60506 60504 60502 60503 60519 60507 60568 60569 60572 60598 60599,1840007034
Tempe,Tempe,AZ,Arizona,4013,Maricopa,33.3881,-111.9319,181005,1748.3,shape,False,True,America/Phoenix,2,85281 85282 85283 85284 85280 85285 85287 85288,1840021942
Danbury,Danbury,CT,Connecticut,9190,Western Connecticut,41.4015,-73.4709,180143,794.2,shape,False,True,America/New_York,2,06810 06811 06813,1840004837
Spring Hill,Spring Hill,FL,Florida,12053,Hernando,28.4798,-82.53,178833,753.2,shape,False,False,America/New_York,2,34608 34609 34604 34606 34611,1840014105
Gastonia,Gastonia,NC,North Carolina,37071,Gaston,35.2494,-81.1854,178220,598.7,shape,False,True,America/New_York,2,28054 28056 28052,1840013468
Salinas,Salinas,CA,California,6053,Monterey,36.6883,-121.6317,177410,2672.8,shape,False,True,America/Los_Angeles,2,93901 93905 93906 93902 93915,1840021632
Fredericksburg,Fredericksburg,VA,Virginia,51630,Fredericksburg,38.2992,-77.4872,176791,1044.0,shape,False,True,America/New_York,2,22401 22404 22412,1840003845
Ontario,Ontario,CA,California,6071,San Bernardino,34.0393,-117.6064,176326,1362.0,shape,False,True,America/Los_Angeles,2,91762 91761 91764 91743 91758,1840020410
Elk Grove,Elk Grove,CA,California,6067,Sacramento,38.4161,-121.3842,176105,1596.1,shape,False,True,America/Los_Angeles,2,95624 95757 95758 95759,1840020245
Gainesville,Gainesville,GA,Georgia,13139,Hall,34.2902,-83.8294,175569,493.1,shape,False,True,America/New_York,2,30501 30507 30504,1840013612
Cary,Cary,NC,North Carolina,37183,Wake,35.7819,-78.8195,174880,1126.5,shape,False,True,America/New_York,2,27560 27518 27519 27511 27513 27512,1840016196
Rancho Cucamonga,Rancho Cucamonga,CA,California,6071,San Bernardino,34.1247,-117.5667,174696,1450.5,shape,False,True,America/Los_Angeles,2,91730 91701 91737 91739 91729,1840020411
Oceanside,Oceanside,CA,California,6073,San Diego,33.2247,-117.3083,173722,1625.3,shape,False,True,America/Los_Angeles,2,92058 92054 92057 92056 92049 92051 92052 92068,1840020623
Garden Grove,Garden Grove,CA,California,6059,Orange,33.7787,-117.9601,171637,3691.2,shape,False,True,America/Los_Angeles,2,92843 92840 92841 92844 92845 92842 92846,1840020577
Lancaster,Lancaster,CA,California,6037,Los Angeles,34.6935,-118.1753,171465,702.2,shape,False,True,America/Los_Angeles,2,93535 93534 93536 93539 93584,1840020516
Hemet,Hemet,CA,California,6065,Riverside,33.7341,-116.9969,170621,1182.9,shape,False,True,America/Los_Angeles,2,92545 92543 92546,1840020550
Pembroke Pines,Pembroke Pines,FL,Florida,12011,Broward,26.0128,-80.3382,170472,2014.0,shape,False,True,America/New_York,2,33029 33028 33025 33024 33026 33023 33027 33084,1840015141
Panama City,Panama City,FL,Florida,12005,Bay,30.1995,-85.6003,169810,373.9,shape,False,True,America/Chicago,2,32401 32404 32405 32402 32412,1840015034
Vallejo,Vallejo,CA,California,6095,Solano,38.1125,-122.2342,169541,1588.3,shape,False,True,America/Los_Angeles,2,94592 94591 94589 94590,1840021499
Manchester,Manchester,NH,New Hampshire,33011,Hillsborough,42.9848,-71.4447,169097,1343.1,shape,False,True,America/New_York,2,03109 03104 03101 03103 03102 03105 03108 03111,1840002983
Medford,Medford,OR,Oregon,41029,Jackson,42.3372,-122.854,168959,1191.6,shape,False,True,America/Los_Angeles,2,97504 97501,1840020076
Bayamón,Bayamon,PR,Puerto Rico,72021,Bayamón,18.3794,-66.1635,168698,2404.7,shape,False,False,America/Puerto_Rico,2,00959 00957 00956 00934 00960 00961 00916,1630035622
Mauldin,Mauldin,SC,South Carolina,45045,Greenville,34.7821,-82.3032,168313,808.4,shape,False,True,America/New_York,2,29662 29607 29681,1840015476
Santa Cruz,Santa Cruz,CA,California,6087,Santa Cruz,36.9789,-122.0346,167835,1859.8,shape,False,True,America/Los_Angeles,2,95065 95064 95060 95062 95061 95063 95067,1840021579
Palmdale,Palmdale,CA,California,6037,Los Angeles,34.5944,-118.1057,166895,607.5,shape,False,True,America/Los_Angeles,2,93591 93552 93551 93550 93590 93599,1840020502
Norwich,Norwich,CT,Connecticut,9180,Southeastern Connecticut,41.5495,-72.0882,166885,551.1,shape,False,True,America/New_York,2,06380 06389 06360,1840004828
Muskegon,Muskegon,MI,Michigan,26121,Muskegon,43.2281,-86.2562,166847,1045.2,shape,False,True,America/Detroit,2,49442 49443 49440 49441,1840002870
Leesburg,Leesburg,FL,Florida,12069,Lake,28.7672,-81.8962,166200,270.6,shape,False,True,America/New_York,2,34748 34762 34736 34749 34789,1840015083
High Point,High Point,NC,North Carolina,37081,Guilford,35.991,-79.9937,164836,774.3,shape,False,True,America/New_York,2,27265 27282 27235 27268 27262 27263 27260 27261 27264,1840014479
Tuscaloosa,Tuscaloosa,AL,Alabama,1125,Tuscaloosa,33.2348,-87.5268,164414,660.0,shape,False,True,America/Chicago,2,35475 35476 35405 35404 35406 35401 35487 35403 35407 35486,1840005563
Visalia,Visalia,CA,California,6107,Tulare,36.3276,-119.3269,163681,1433.0,shape,False,True,America/Los_Angeles,2,93277 93291 93292 93278 93279 93290,1840021639
Marysville,Marysville,WA,Washington,53061,Snohomish,48.0809,-122.1561,162664,1318.1,shape,False,True,America/Los_Angeles,2,98271 98270,1840019789
Merced,Merced,CA,California,6047,Merced,37.3057,-120.4779,160638,1455.9,shape,False,True,America/Los_Angeles,2,95348 95340 95341 95343,1840020313
Hayward,Hayward,CA,California,6001,Alameda,37.6328,-122.0766,160602,1353.4,shape,False,True,America/Los_Angeles,2,94541 94542 94544 94545 94587 94540 94543 94557,1840020293
Lafayette,Lafayette,IN,Indiana,18157,Tippecanoe,40.3991,-86.8593,160543,930.9,shape,False,True,America/Indiana/Indianapolis,2,47909 47905 47904 47901 47902 47903,1840008354
Springfield,Springfield,IL,Illinois,17167,Sangamon,39.7709,-89.654,159671,721.0,shape,False,True,America/Chicago,2,62711 62712 62629 62702 62703 62701 62706 62707 62704 62705 62715 62716 62719 62722 62726 62736 62739 62756 62757 62761 62762 62763 62765 62766 62767 62769 62776 62777 62781 62786 62796,1840009517
Corona,Corona,CA,California,6065,Riverside,33.8616,-117.5649,158346,1532.6,shape,False,True,America/Los_Angeles,2,92882 92880 92881 92879 92877 92878,1840019305
Paterson,Paterson,NJ,New Jersey,34031,Passaic,40.9147,-74.1624,157864,7244.8,shape,False,True,America/New_York,2,07522 07524 07514 07513 07505 07501 07504 07503 07502 07507 07509 07510 07533 07543 07544,1840000838
Alexandria,Alexandria,VA,Virginia,51510,Alexandria,38.8185,-77.0861,157594,4074.1,shape,False,True,America/New_York,2,22302 22301 22304 22305 22311 22314 20598 22320 22331 22332 22333 22334,1840003837
Macon,Macon,GA,Georgia,13021,Bibb,32.8065,-83.6974,156554,242.4,shape,False,True,America/New_York,2,31210 31052 31211 31213 31216 31217 31220 31207 31206 31204 31201 31202 31203 31205 31208 31209 31221 31294 31295 31296 31297,1840043455
Binghamton,Binghamton,NY,New York,36007,Broome,42.1014,-75.9093,156375,1754.4,shape,False,True,America/New_York,2,13904 13905 13901 13903,1840000460
Lakewood,Lakewood,CO,Colorado,8059,Jefferson,39.6977,-105.1172,156149,1387.3,shape,False,True,America/Denver,2,80232 80235 80214 80215 80227 80226 80228 80201 80225,1840020198
Kansas City,Kansas City,KS,Kansas,20209,Wyandotte,39.1235,-94.7443,155438,481.1,shape,False,True,America/Chicago,2,66101 66102 66103 66104 66105 66106 66109 66160 66112 66111 66115 66118 66110 66117 66119,1840001626
Odessa,Odessa,TX,Texas,48135,Ector,31.8801,-102.3448,155039,850.4,shape,False,True,America/Chicago,2,79762 79761 79763 79765 79768,1840020794
Sunnyvale,Sunnyvale,CA,California,6085,Santa Clara,37.3836,-122.0255,154573,2705.4,shape,False,True,America/Los_Angeles,2,94085 94086 94087 94089 94088,1840021573
New Bedford,New Bedford,MA,Massachusetts,25005,Bristol,41.6697,-70.9428,153701,1942.4,shape,False,True,America/New_York,2,02740 02744 02745 02746 02741 02742,1840003219
Hollywood,Hollywood,FL,Florida,12011,Broward,26.0293,-80.1679,152764,2164.4,shape,False,True,America/New_York,2,33024 33021 33023 33022 33020 33004 33316 33312 33019 33081 33082 33302,1840015144
South Lyon,South Lyon,MI,Michigan,26125,Oakland,42.4614,-83.6526,152132,1216.5,shape,False,True,America/Detroit,2,48178,1840002432
Escondido,Escondido,CA,California,6073,San Diego,33.1348,-117.0723,151114,1562.3,shape,False,True,America/Los_Angeles,2,92029 92025 92026 92027 92030 92033 92046,1840020620
Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu,30.201,-93.2111,151109,670.5,shape,False,True,America/Chicago,2,70605 70607 70601 70609 70615 70629 70602 70606 70612 70616,1840015039
Pasadena,Pasadena,TX,Texas,48201,Harris,29.6575,-95.1498,150620,1331.1,shape,False,True,America/Chicago,2,77058 77059 77586 77506 77507 77504 77505 77502 77503 77258 77501 77508,1840020930
Bellevue,Bellevue,WA,Washington,53033,King,47.5951,-122.1535,150606,1737.5,shape,False,True,America/Los_Angeles,2,98004 98005 98006 98007 98008 98009 98015,1840018417
Joliet,Joliet,IL,Illinois,17197,Will,41.5188,-88.1499,150221,882.1,shape,False,True,America/Chicago,2,60421 60586 60432 60433 60431 60436 60435 60434,1840008192
Champaign,Champaign,IL,Illinois,17019,Champaign,40.1142,-88.2737,150179,1488.4,shape,False,True,America/Chicago,2,61822 61820 61821 61824 61825 61826,1840007239
Pomona,Pomona,CA,California,6037,Los Angeles,34.0585,-117.7626,149831,2516.9,shape,False,True,America/Los_Angeles,2,91768 91766 91767 91769,1840020507
Fairfield,Fairfield,CA,California,6095,Solano,38.2583,-122.0335,149635,1108.7,shape,False,True,America/Los_Angeles,2,94533 94534 94535,1840020253
Mesquite,Mesquite,TX,Texas,48113,Dallas,32.7602,-96.5865,149439,1175.4,shape,False,True,America/Chicago,2,75149 75126 75150 75181 75185 75187,1840020713
Elkhart,Elkhart,IN,Indiana,18039,Elkhart,41.6916,-85.9627,149423,752.7,shape,False,True,America/Indiana/Indianapolis,2,46514 46517 46516 46515,1840008187
Naperville,Naperville,IL,Illinois,17043,DuPage,41.748,-88.1659,149089,1471.7,shape,False,True,America/Chicago,2,60540 60563 60564 60565 60567,1840008143
St. George,St. George,UT,Utah,49053,Washington,37.0758,-113.5752,148895,481.3,shape,False,True,America/Denver,2,84770 84790 84791,1840021559
Roseville,Roseville,CA,California,6061,Placer,38.7703,-121.3196,148879,1303.8,shape,False,True,America/Los_Angeles,2,95661 95747 95678,1840020233
Topeka,Topeka,KS,Kansas,20177,Shawnee,39.0346,-95.6955,148185,792.2,shape,False,True,America/Chicago,2,66621 66622 66609 66608 66607 66606 66605 66604 66603 66619 66611 66612 66614 66616 66601 66624 66625 66626 66629 66636 66647 66667 66675 66683 66699,1840001621
Burlington,Burlington,NC,North Carolina,37001,Alamance,36.076,-79.4685,147415,726.6,shape,False,True,America/New_York,2,27217 27215,1840013362
Warner Robins,Warner Robins,GA,Georgia,13153,Houston,32.5961,-83.6527,146790,819.4,shape,False,True,America/New_York,2,31088 31005 31093 31099,1840015800
